Que es una interfaz de usuario?	Es el metodo que permite interactuar a los usuarios con maquinas, aplicaciones, dispositivos, etc.
Menciona las tres carcateristicas de la usabilidad.	-Efectividad: pRecision y plenitud con que los usuarios alcanzan los objetivos deseados.<br>-Eficiencia: En los recursos empleados para llegar a la efectividad.<br>-Satisfaccion: Actitud positiva en el uso del producto y ausencia de incomodidad.
Que dicen las heuristicas de Nielsen?	Las heuristicas de Nielsen establecen que la mayor parte del tiempo las personas usan productos digitales distintos al tuyo, por lo tanto sus expectativas estan basadas en dichos productos. Los usuarios no deben preguntarse si diferentes situaciones o acciones significan lo mismo.
Nombre las heristicas de Nielsen.	-Visibilidad del estatus del sistema: No dejar al usuario pensando que esta pasando (Barra de progreso, mensajes de confirmacion, etc).<br>-Alineacion entre el sistema y el mundo real: Cuanto mas claro mejor: El sistema tiene que hablar con el usuaio en su mismo lenguaj (Imagnes claras, iconos representativos, etc).<br>-Control y libertad para el usuario: No forzar al usuario a seguir un camino determinado. Darle al usuaio la posibilidad de corregir errores, opciones de deshacer, etc.<br>-Consistencia y estandares (Mismo color de botones, etc).<br>-Reconocimeinto antes que reaccion (recordar): Mejor reconocer que obligar a recordar/memorizar acciones u objetos (Usar comboBox antes que TextBox).<br>-Prevencion de errores: Prevenir mejor que curar (Perdir confirmacion, Opcion de autocompletar, resaltar un campo que falta llenar, etc).<br>-Flexibilidad y eficiencia de uso: El sistema debe estar preparado para usuaios nuevos (flesibildad) y experimentados (eficacia).<br>-Estetica y disieño minimalista:No se debe contener informacion innecesaria.<br>-Ayudar a los usuarios con los errores: Los errores deben de ser entendibles por el usuario (Error 404)<br>-Ayuda y documentacion: Se pretende que el usuaio no deba utilizar documentacion, pero igualmente se le debe brindar al usuaio un manual de funcionamiento (FAQs, Mini tours).
Mencione y explique los 3 tipos de consitencia.	-Interna: Consistencia entre paginas o pantallas de un mismo sistema.<br>-Externa: Consistencia entre aplicaciones de una msima plataforma (Instalacion de aplicaciones en Windows).<br>-Metaforica: Es la forma de hacer intuitiva una interfaz basandose en lo que el usuaio ya conoce (ej. Calculadora, consolas de musica).
Con que aspectos se hace el rating de severidad?	-Frecuencia: ¿Es común o raro? Numero de usuaios que encuentra el problema divido el numero total de usuarios.<br>-Impacto: ¿Es facil o dificil superar este problema?<br>-Persistencia: ¿El problema es conocido y el usuario puede solucionarlo o no?
DIga la escala con la que se clasifica la severidad.	0 = No es un problema de usabilidad<br>1 = Problemas cosmeticos: no necesita ser arreglado a no ser que se cuente con tiempo extra.<br>2 = problema menor de usabilidad: baja prioridad.<br>3 = problema mayor de usabilidad: mportante de arreglar.<br>4 = catástrofe de usabilidad: imperativo arreglar.
Mencione los principios de Tognazzini.	1-Anticipacion: Las aplicaciones deben intentar anticiparse a las necesidades del usuario.<br>2-Autonomía y Control: El usuaio debe tener el control y poder moverse con autonomia por el sitio web.<br>3-Precauncion usando colores: (Pensar en los que no distinguen colores. No se be utilizar los colores como la unica forma de presentar informacion.<br>4-Consitencia: Hay que ser consitencues con los conocimentos previos y las expectiativas del usuario.<br>5-Uso de valores por defecto: Caundo tengan sentido, permitiendo cambiar su configuracion con facilidad.<br>6-Eficacia del usuario: Hay que centrase en la preoductividad del usuario.<br>7-Interfaces explorables que den libvertad al usuario. Se debe permitir que el usuaio deshag las acciones realizadas.<br>8-Ley de Fitts: Cuanto menos distancioa hay que recorrer y mayor tamaño tenga un elemento, mas facil sera interactuar con el.<br>9-Uso de estandares: Elementos familiares en la interfaz.<br>10-Se debe minimar el tiempo de espera del usuaio y mantenerlo informaco del timepo que falta.<br>11-Minimar el aprendisaje: El aprendisaje necesario debe ser minimo y el sitio web debe poder usarse desde el rpimer momento.<br>12-Uso adecuado de metaforas: Con su uso, siempre que sean apropiadas, se debe mejorar la comprension.<br>13-Protecccion del trabajo de los usuaios: Hay que aseguarse que el trabajo de los usuarios no se pierda a consecnuenia de un error.<br>14-Legibilidad: Hay que favorecer la legibilidad mediante el tamaño de fuente adecuado y suficinte contrase entre texto y fonodo<br>15-Registro de estado: Seguimeinto de las acciones de usuaios para posteriormente permitir las acciones que realiza con mas frecuencia se puedan realizra mas rapido.<br>16-Navegacion visible: Hay que evitar, o reducir al maximo, los elementos de navegacion invisible y presentarlos de forma clara.<br>
Que aspectos debe cumplir una interfaz de usuario.	-Atractiva visualmente<br>-Clara<br>-Coherente<br>-Flexible
Que es AOE?	Patron de diseño de software que se basa en la comunicacion asincronica entre componentes mediante eventos.
Cuales son los componetes de AOE?	1. Evento: Representa un suceso significativo en el sistema. <br>2. Productor de eventos: Genera y emite eventos. <br>3. Consumidor de eventos: Recibe y procesa eventos. <br>4. Bus de eventos: Canal de comunicación entre los productores y consumidores de eventos.
Cual es el flujo de trabajo de AOE?	1. El productor de eventos genera un evento y lo emite en el bus de eventos. <br>2. El bus de eventos distribuye el evento a todos los consumidores interesados.<br>&nbsp;3. Los consumidores reciben los eventos y ejecutan acciones en respuesta a ellos. <br>4. Los consumidores pueden generar nuevos eventos, que a su vez son emitidos en el bus y procesados por otros consumidores
Diga ejemplos de uso de AOE.	1. Sistemas de mensajería instantánea: Notificación de mensajes nuevos, actualización de la lista de contactos.<br>&nbsp;2. Aplicaciones IoT: Recepción de datos de sensores, control de dispositivos. <br>3. Sistemas de comercio electrónico: Procesamiento de órdenes, notificación de cambios de estado. <br>4. Integración de sistemas: Sincronización de datos entre aplicaciones
Que logra AOE?	1. La Arquitectura Orientada a Eventos es un patrón poderoso para construir sistemas flexibles, escalables. <br>2. Permite una comunicación asíncrona entre componentes mediante eventos significativos. <br>3. Su adopción requiere un diseño cuidadoso en cuanto a la estructura de eventos y la gestión de carga.
Cuales son las caracteristicas del SOA?	Servicio en lugar de Componente <br>•Interoperabilidad <br>•Bajo acoplamiento <br>•Alta abstracción
Cuales osn las ventajas y desventajas del SOA?	Ventajas de SOA: <br>• Reutilización: Los servicios pueden ser compartidos y reutilizados en diferentes aplicaciones y contextos. <br>• Interoperabilidad: Permite la integración de sistemas heterogéneos y la comunicación entre diferentes plataformas tecnológicas. <br>• Flexibilidad y modularidad: Los servicios pueden ser actualizados o reemplazados sin afectar a otros componentes del sistema.<br><br>Desventajas de SOA: <br>• Complejidad inicial: El diseño e implementación de una arquitectura SOA puede ser complejo y requerir un esfuerzo adicional.<br>• Gestión de servicios: La gestión y el monitoreo de los servicios pueden ser un desafío, especialmente en sistemas grandes con muchos servicios.
